Station,date,temp_C,RH_pct,wind_speed_ms,wind_dir_deg,solar_rad_Wm2,surface_pressure_hPa,boundary_layer_height_m,wind_speed_u_ms,wind_speed_v_ms,dilution_volume_index,ventilation_coefficient,photochemical_activitiy_index,geopotential_height_1000hPa,geopotential_height_850hPa,geopotential_height_500hPa,precip_mm,PM2.5_ugm3,O3_8h,PM10_ugm3,NO2_ppb,NOx_ppb,CO_ppm,SO2_ppb,modis_aod_550nm,modis_ndvi,firms_fire_count,firms_frp_mw,pm_n,o3_n,latitude,longtitude,season,year,regime,regime_name,thr_PM,thr_O3,pm_ex,o3_ex,compound,doy_sin,doy_cos,weekday,PM2.5_ugm3_lag1,PM2.5_ugm3_lag2,PM2.5_ugm3_lag3,O3_8h_lag1,O3_8h_lag2,O3_8h_lag3,temp_C_lag1,temp_C_lag2,temp_C_lag3,RH_pct_lag1,RH_pct_lag2,RH_pct_lag3,wind_speed_ms_lag1,wind_speed_ms_lag2,wind_speed_ms_lag3,solar_rad_Wm2_lag1,solar_rad_Wm2_lag2,solar_rad_Wm2_lag3,boundary_layer_height_m_lag1,boundary_layer_height_m_lag2,boundary_layer_height_m_lag3,ventilation_coefficient_lag1,ventilation_coefficient_lag2,ventilation_coefficient_lag3,photochemical_activitiy_index_lag1,photochemical_activitiy_index_lag2,photochemical_activitiy_index_lag3,precip_mm_lag1,precip_mm_lag2,precip_mm_lag3,PM2.5_ugm3_roll3,PM2.5_ugm3_roll7,O3_8h_roll3,O3_8h_roll7,precip_roll3,pm_ex_today,o3_ex_today,compound_today,y24,y48,y72,pm_next,o3_next,pm_ex_next,o3_ex_next
SYLHET,2015-11-24,21.6,51.869565217391305,3.4217391304347826,67.95652173913044,199.56521739130434,1011.9260869565217,243.04347826086956,0.4729047562608696,0.5164565704782609,0.03054894504347826,164.52898551313044,5252.886956521739,105.24027179565219,1499.8755659565215,5732.776019608696,0.0,41.037894736842105,14.818749999999998,98.57833333333333,21.3215,115.31649999999999,1.7005,11.8235,0.428880045,0.404318273,7.0,136.2073164,19.0,20.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,0.0,0.0,0.0,-0.5978291414589552,0.801623551065242,1,49.996521739130436,35.38409090909091,,16.243749999999995,12.993749999999997,14.216666666666663,22.169565217391302,22.73478260869565,22.617391304347827,59.91304347826087,64.17391304347827,66.82608695652173,3.178260869565217,3.6217391304347823,3.6956521739130435,200.04347826086956,199.2173913043478,197.82608695652175,223.47826086956522,280.2173913043478,247.3913043478261,119.7765700485652,245.18115942595654,191.16545893708695,5408.521739130435,5420.760869565217,5475.560869565217,0.0,0.0,0.0,,,14.484722222222183,16.579676870748294,0.0,0.0,0.0,0.0,,0.0,0.0,,16.148749999999996,,0.0
SYLHET,2015-11-25,21.17391304347826,55.69565217391305,3.891304347826087,136.3913043478261,196.52173913043478,1011.4782608695652,264.3478260869565,0.5127482688695651,0.4730276649565217,0.028074126782608698,220.41062802000002,5168.278260869565,105.40569589565217,1500.220199782609,5733.396360043478,0.0,,16.148749999999996,137.73411764705884,17.801499999999997,56.991499999999995,1.8195000000000001,13.3565,0.285990667,0.336877723,9.0,85.99502831,17.0,18.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,,0.0,,-0.5839514998576998,0.8117885474764613,2,41.037894736842105,49.996521739130436,35.38409090909091,14.818749999999998,16.243749999999995,12.993749999999997,21.6,22.169565217391302,22.73478260869565,51.869565217391305,59.91304347826087,64.17391304347827,3.4217391304347826,3.178260869565217,3.6217391304347823,199.56521739130434,200.04347826086956,199.2173913043478,243.04347826086956,223.47826086956522,280.2173913043478,164.52898551313044,119.7765700485652,245.18115942595654,5252.886956521739,5408.521739130435,5420.760869565217,0.0,0.0,0.0,42.13950246168793,,14.685416666666631,15.891105442176865,0.0,,0.0,,0.0,0.0,0.0,56.026818181818186,13.114999999999997,0.0,0.0
SYLHET,2015-11-26,21.504347826086956,61.869565217391305,3.039130434782609,202.1304347826087,191.47826086956522,1010.9043478260869,253.47826086956522,0.03564822317391305,0.5283267333913043,0.031136030739130433,151.0990338163913,4978.313043478261,105.5732193173913,1500.5692073913044,5734.024572521739,0.0,56.026818181818186,13.114999999999997,123.78681818181818,16.82391304347826,42.681304347826085,1.958695652173913,14.058260869565217,1.083185484,0.573638352,2.0,31.52136927,22.0,18.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,0.0,0.0,0.0,-0.5699010576127624,0.8217133225960589,3,,41.037894736842105,49.996521739130436,16.148749999999996,14.818749999999998,16.243749999999995,21.17391304347826,21.6,22.169565217391302,55.69565217391305,51.869565217391305,59.91304347826087,3.891304347826087,3.4217391304347826,3.178260869565217,196.52173913043478,199.56521739130434,200.04347826086956,264.3478260869565,243.04347826086956,223.47826086956522,220.41062802000002,164.52898551313044,119.7765700485652,5168.278260869565,5252.886956521739,5408.521739130435,0.0,0.0,0.0,,,15.737083333333297,16.900569727891153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.18826086956521,17.684999999999995,1.0,0.0
SYLHET,2015-11-27,21.23913043478261,65.1304347826087,2.9086956521739133,141.56521739130434,189.43478260869566,1010.4652173913043,301.0869565217391,0.2117158267826087,0.41427141265217393,0.03005016356521739,199.77657005130436,4852.630434782609,105.74279247391304,1500.9224847391304,5734.660471521739,0.0,67.18826086956521,17.684999999999995,133.9286956521739,17.757391304347827,41.06434782608696,2.141304347826087,14.10304347826087,1.153434073,0.525452228,2.0,67.64942177,23.0,18.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,1.0,0.0,0.0,-0.5556819724760489,0.8313949395234058,4,56.026818181818186,,41.037894736842105,13.114999999999997,16.148749999999996,14.818749999999998,21.504347826086956,21.17391304347826,21.6,61.869565217391305,55.69565217391305,51.869565217391305,3.039130434782609,3.891304347826087,3.4217391304347826,191.47826086956522,196.52173913043478,199.56521739130434,253.47826086956522,264.3478260869565,243.04347826086956,151.0990338163913,220.41062802000002,164.52898551313044,4978.313043478261,5168.278260869565,5252.886956521739,0.0,0.0,0.0,,,14.69416666666663,15.475773809523805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.019,18.377499999999994,0.0,0.0
SYLHET,2015-11-28,21.247826086956522,63.17391304347826,3.117391304347826,164.08695652173913,186.95652173913044,1013.9826086956521,307.82608695652175,0.24149288417391307,0.4597075350434783,0.030945294391304348,155.37439613291303,4831.239130434783,105.91436522608694,1501.2799278695652,5735.303869652174,0.0,48.019,18.377499999999994,62.86133333333333,17.724090909090908,43.74318181818182,2.2790909090909093,14.063636363636363,1.055233998,0.316865104,7.0,236.3988488,20.0,20.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,0.0,0.0,0.0,-0.5412984521036173,0.8408305333122887,5,67.18826086956521,56.026818181818186,,17.684999999999995,13.114999999999997,16.148749999999996,21.23913043478261,21.504347826086956,21.17391304347826,65.1304347826087,61.869565217391305,55.69565217391305,2.9086956521739133,3.039130434782609,3.891304347826087,189.43478260869566,191.47826086956522,196.52173913043478,301.0869565217391,253.47826086956522,264.3478260869565,199.77657005130436,151.0990338163913,220.41062802000002,4852.630434782609,4978.313043478261,5168.278260869565,0.0,0.0,0.0,,,15.649583333333297,15.031666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.30263157894737,20.298571428571424,0.0,0.0
SYLHET,2015-11-29,21.860869565217392,69.17391304347827,2.9086956521739133,139.0,183.43478260869566,1015.1869565217391,283.04347826086956,0.04857106734782608,0.4928687524347826,0.025925650782608695,164.48067633173915,4820.934782608696,106.08788679130434,1501.6414308260871,5735.954575478261,0.0,52.30263157894737,20.298571428571424,123.25363636363636,20.122272727272726,91.50636363636363,2.424090909090909,14.608636363636363,0.999991878,0.426017663,4.0,71.34666775,19.0,21.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,0.0,0.0,0.0,-0.5267547528105542,0.8500173118187018,6,48.019,67.18826086956521,56.026818181818186,18.377499999999994,17.684999999999995,13.114999999999997,21.247826086956522,21.23913043478261,21.504347826086956,63.17391304347826,65.1304347826087,61.869565217391305,3.117391304347826,2.9086956521739133,3.039130434782609,186.95652173913044,189.43478260869566,191.47826086956522,307.82608695652175,301.0869565217391,253.47826086956522,155.37439613291303,199.77657005130436,151.0990338163913,4831.239130434783,4852.630434782609,4978.313043478261,0.0,0.0,0.0,57.07802635046125,,16.39249999999996,15.626071428571423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2805,18.532499999999995,0.0,0.0
SYLHET,2015-11-30,21.769565217391303,71.56521739130434,2.817391304347826,117.8695652173913,181.82608695652175,1013.8391304347825,292.60869565217394,0.02228712991304347,0.2929646547826087,0.03323428682608696,274.4202898736087,4713.460869565218,106.26330577826087,1502.0068870869566,5736.612396478261,0.0,57.2805,18.532499999999995,118.15299999999999,21.796363636363637,152.74818181818182,2.561818181818182,14.699545454545454,0.83800408,0.634879935,2.0,19.28430577,20.0,21.0,24.88885,91.867327,post,2015,1.0,Stagnant-Trapping,59.914874999999995,25.90375,0.0,0.0,0.0,-0.5120551783114646,0.8589525565270845,0,52.30263157894737,48.019,67.18826086956521,20.298571428571424,18.377499999999994,17.684999999999995,21.860869565217392,21.247826086956522,21.23913043478261,69.17391304347827,63.17391304347826,65.1304347826087,2.9086956521739133,3.117391304347826,2.9086956521739133,183.43478260869566,186.95652173913044,189.43478260869566,283.04347826086956,307.82608695652175,301.0869565217391,164.48067633173915,155.37439613291303,199.77657005130436,4820.934782608696,4831.239130434783,4852.630434782609,0.0,0.0,0.0,55.83663081617098,,18.78702380952377,16.66961734693877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.648,15.003749999999997,0.0,0.0
SYLHET,2015-12-01,21.282608695652176,76.04347826086956,3.347826086956522,109.8695652173913,157.1304347826087,1012.2739130434783,310.0,0.4433332093478261,0.04873638891304348,0.023553500782608698,328.66545890547826,3950.804347826087,106.4405703,1502.3761882608694,5737.277138260869,0.0,47.648,15.003749999999997,104.168,27.31782608695652,219.91954545454544,2.6360869565217393,15.529565217391305,0.728400239,0.475140401,9.0,119.214143,20.0,18.0,24.88885,91.867327,winter,2015,1.0,Stagnant-Trapping,126.6507302631579,27.96625,0.0,0.0,0.0,-0.4972040784469378,0.8676336233547726,1,57.2805,52.30263157894737,48.019,18.532499999999995,20.298571428571424,18.377499999999994,21.769565217391303,21.860869565217392,21.247826086956522,71.56521739130434,69.17391304347827,63.17391304347826,2.817391304347826,2.9086956521739133,3.117391304347826,181.82608695652175,183.43478260869566,186.95652173913044,292.60869565217394,283.04347826086956,307.82608695652175,274.4202898736087,164.48067633173915,155.37439613291303,4713.460869565218,4820.934782608696,4831.239130434783,0.0,0.0,0.0,52.534043859649245,,19.069523809523773,16.996581632653058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.11318181818182,15.606249999999996,0.0,0.0
SYLHET,2015-12-02,21.704347826086956,75.56521739130434,3.817391304347826,125.95652173913044,149.91304347826087,1012.4521739130436,285.2173913043478,0.48580858578260866,0.11756909921739131,0.020448651695652176,305.3381642686956,3811.160869565217,106.6196278695652,1502.7492247826087,5737.948604304347,0.0,56.11318181818182,15.606249999999996,122.5,27.659999999999997,250.3095652173913,2.736086956521739,15.439565217391305,0.241336098,0.451455198,10.0,188.9377153,22.0,20.0,24.88885,91.867327,winter,2015,1.0,Stagnant-Trapping,126.6507302631579,27.96625,0.0,0.0,0.0,-0.4822058478963526,0.8760579434344281,2,47.648,57.2805,52.30263157894737,15.003749999999997,18.532499999999995,20.298571428571424,21.282608695652176,21.769565217391303,21.860869565217392,76.04347826086956,71.56521739130434,69.17391304347827,3.347826086956522,2.817391304347826,2.9086956521739133,157.1304347826087,181.82608695652175,183.43478260869566,310.0,292.60869565217394,283.04347826086956,328.66545890547826,274.4202898736087,164.48067633173915,3950.804347826087,4713.460869565218,4820.934782608696,0.0,0.0,0.0,52.41037719298257,,17.94494047619044,17.02301020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3215,16.043749999999996,0.0,0.0
SYLHET,2015-12-03,20.817391304347826,83.82608695652173,3.573913043478261,132.65217391304347,143.3913043478261,1012.5782608695652,252.17391304347825,0.27733085817391306,-0.10147467026086958,0.019624460347826087,255.14492754365216,3522.634782608696,106.80042554347827,1503.1258867391305,5738.62659573913,3.2,53.3215,16.043749999999996,95.47999999999999,28.08772727272727,281.88909090909095,2.8686363636363637,16.106818181818184,0.578875874,0.460194862,0.0,0.0,20.0,22.0,24.88885,91.867327,winter,2015,1.0,Stagnant-Trapping,126.6507302631579,27.96625,0.0,0.0,0.0,-0.46706492487743034,0.8842230238742036,3,56.11318181818182,47.648,57.2805,15.606249999999996,15.003749999999997,18.532499999999995,21.704347826086956,21.282608695652176,21.769565217391303,75.56521739130434,76.04347826086956,71.56521739130434,3.817391304347826,3.347826086956522,2.817391304347826,149.91304347826087,157.1304347826087,181.82608695652175,285.2173913043478,310.0,292.60869565217394,305.3381642686956,328.66545890547826,274.4202898736087,3811.160869565217,3950.804347826087,4713.460869565218,0.0,0.0,0.0,53.68056060606073,54.939770349787544,16.380833333333296,16.94551020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.86736842105263,28.6925,0.0,1.0
SYLHET,2015-12-04,20.730434782608697,83.30434782608695,3.7086956521739127,126.30434782608695,139.0,1013.4956521739131,271.95652173913044,0.670218791347826,0.11222833447826089,0.010187434217391305,266.29830917782607,3232.482608695652,106.98290983913043,1503.5060621304349,5739.310911521739,1.7000000000000002,40.86736842105263,28.6925,73.09777777777778,30.676499999999997,309.2268421052632,2.809,17.273500000000002,0.541322943,0.373108953,14.0,470.6262679,19.0,19.0,24.88885,91.867327,winter,2015,1.0,Stagnant-Trapping,126.6507302631579,27.96625,0.0,1.0,0.0,-0.451785789832884,0.8921264484954345,4,53.3215,56.11318181818182,47.648,16.043749999999996,15.606249999999996,15.003749999999997,20.817391304347826,21.704347826086956,21.282608695652176,83.82608695652173,75.56521739130434,76.04347826086956,3.573913043478261,3.817391304347826,3.347826086956522,143.3913043478261,149.91304347826087,157.1304347826087,252.17391304347825,285.2173913043478,310.0,255.14492754365216,305.3381642686956,328.66545890547826,3522.634782608696,3811.160869565217,3950.804347826087,3.2,0.0,0.0,52.36089393939406,54.55329632381352,15.551249999999962,17.363903061224484,3.1999999999999287,0.0,1.0,0.0,0.0,0.0,0.0,65.68190476190476,28.047499999999992,0.0,1.0
SYLHET,2015-12-05,20.282608695652176,74.69565217391305,4.565217391304348,100.0,175.7391304347826,1013.5391304347827,248.2608695652174,0.3729591606086956,0.8248812098695651,0.020693810391304347,202.4154589352174,4303.395652173914,107.16702671304347,1503.8896389565216,5740.0013502173915,0.0,65.68190476190476,28.047499999999992,116.00714285714287,34.14043478260869,343.85391304347826,2.859565217391304,16.61913043478261,0.422741473,0.42904751,2.0,24.48355037,21.0,23.0,24.88885,91.867327,winter,2015,1.0,Stagnant-Trapping,126.6507302631579,27.96625,0.0,1.0,0.0,-0.4363729641045924,0.8997658785476209,5,40.86736842105263,53.3215,56.11318181818182,28.6925,16.043749999999996,15.606249999999996,20.730434782608697,20.817391304347826,21.704347826086956,83.30434782608695,83.82608695652173,75.56521739130434,3.7086956521739127,3.573913043478261,3.817391304347826,139.0,143.3913043478261,149.91304347826087,271.95652173913044,252.17391304347825,285.2173913043478,266.29830917782607,255.14492754365216,305.3381642686956,3232.482608695652,3522.634782608696,3811.160869565217,1.7000000000000002,3.2,0.0,50.100683413078265,50.79316883116887,20.11416666666663,18.936403061224485,4.899999999999929,0.0,1.0,0.0,0.0,0.0,0.0,89.99,23.59428571428571,0.0,0.0
